NumP,dt,Ndt,Precision, ,
4,0.200000,1000,10,4.000000e+11,
x,y,z,t,Ek,Ep
-8.703648e+10,-2.674146e+10,0.000000e+00,1.600000e+01,6.441023e+38,-4.133809e+39
-2.674146e+10,8.703648e+10,0.000000e+00,1.600000e+01,6.441023e+38,-1.461522e+39
2.674146e+10,-8.703648e+10,0.000000e+00,1.600000e+01,6.441023e+38,0.000000e+00
8.355525e+10,2.963918e+10,0.000000e+00,1.800000e+01,7.185098e+38,-5.744156e+39
-8.355525e+10,-2.963918e+10,0.000000e+00,1.800000e+01,7.185098e+38,-4.243760e+39
-2.963918e+10,8.355525e+10,0.000000e+00,1.800000e+01,7.185098e+38,-1.500396e+39
2.963918e+10,-8.355525e+10,0.000000e+00,1.800000e+01,7.185098e+38,0.000000e+00
7.961665e+10,3.237434e+10,0.000000e+00,2.000000e+01,8.076749e+38,-5.922498e+39
-7.961665e+10,-3.237434e+10,0.000000e+00,2.000000e+01,8.076749e+38,-4.375518e+39
-3.237434e+10,7.961665e+10,0.000000e+00,2.000000e+01,8.076749e+38,-1.546979e+39
3.237434e+10,-7.961665e+10,0.000000e+00,2.000000e+01,8.076749e+38,0.000000e+00
7.519967e+10,3.491454e+10,0.000000e+00,2.200000e+01,9.145456e+38,-6.136254e+39
-7.519967e+10,-3.491454e+10,0.000000e+00,2.200000e+01,9.145456e+38,-4.533441e+39
-3.491454e+10,7.519967e+10,0.000000e+00,2.200000e+01,9.145456e+38,-1.602813e+39
3.491454e+10,-7.519967e+10,0.000000e+00,2.200000e+01,9.145456e+38,0.000000e+00
7.027930e+10,3.722043e+10,0.000000e+00,2.400000e+01,1.043102e+39,-6.393385e+39
-7.027930e+10,-3.722043e+10,0.000000e+00,2.400000e+01,1.043102e+39,-4.723408e+39
-3.722043e+10,7.027930e+10,0.000000e+00,2.400000e+01,1.043102e+39,-1.669977e+39
3.722043e+10,-7.027930e+10,0.000000e+00,2.400000e+01,1.043102e+39,0.000000e+00
6.482582e+10,3.924316e+10,0.000000e+00,2.600000e+01,1.198818e+39,-6.704843e+39
-6.482582e+10,-3.924316e+10,0.000000e+00,2.600000e+01,1.198818e+39,-4.953512e+39
-3.924316e+10,6.482582e+10,0.000000e+00,2.600000e+01,1.198818e+39,-1.751331e+39
